1, 5, 210, 971, 57, 35, -1, -1, -1, 0, , 
1, 4, 43, 814, 87, 78, -1, -1, -1, 0, , 
1, 3, 1460, 451, 49, 67, -1, -1, -1, 0, , 
1, 2, 233, 2, 58, 72, -1, -1, -1, 0, , 
1, 1, 1707, 991, 104, 31, -1, -1, -1, 0, , 
2, 5, 209, 969, 60, 37, -1, -1, -1, 0, , 
2, 4, 44, 814, 86, 80, -1, -1, -1, 0, , 
2, 3, 1460, 451, 49, 67, -1, -1, -1, 0, , 
2, 2, 233, 2, 58, 72, -1, -1, -1, 0, , 
2, 1, 1706, 991, 105, 31, -1, -1, -1, 0, , 
3, 5, 209, 969, 58, 37, -1, -1, -1, 0, , 
3, 4, 44, 814, 86, 81, -1, -1, -1, 0, , 
3, 3, 1460, 451, 49, 67, -1, -1, -1, 0, , 
3, 1, 1708, 990, 98, 32, -1, -1, -1, 0, , 
4, 5, 209, 970, 57, 36, -1, -1, -1, 0, , 
4, 4, 41, 815, 90, 81, -1, -1, -1, 0, , 
4, 3, 1460, 451, 49, 67, -1, -1, -1, 0, , 
5, 5, 210, 970, 57, 36, -1, -1, -1, 0, , 
5, 4, 40, 817, 90, 78, -1, -1, -1, 0, , 
5, 3, 1460, 452, 49, 66, -1, -1, -1, 0, , 
6, 5, 210, 970, 58, 36, -1, -1, -1, 0, , 
6, 4, 45, 820, 86, 72, -1, -1, -1, 0, , 
6, 3, 1460, 451, 49, 67, -1, -1, -1, 0, , 
7, 5, 210, 969, 58, 37, -1, -1, -1, 0, , 
7, 4, 45, 820, 87, 72, -1, -1, -1, 0, , 
7, 3, 1460, 451, 49, 67, -1, -1, -1, 0, , 
8, 5, 210, 969, 59, 38, -1, -1, -1, 0, , 
8, 4, 44, 822, 88, 70, -1, -1, -1, 0, , 
8, 3, 1461, 452, 48, 66, -1, -1, -1, 0, , 
9, 5, 210, 967, 59, 40, -1, -1, -1, 0, , 
9, 4, 45, 823, 87, 70, -1, -1, -1, 0, , 
9, 3, 1461, 452, 48, 66, -1, -1, -1, 0, , 
10, 5, 211, 969, 57, 37, -1, -1, -1, 0, , 
10, 4, 28, 824, 101, 70, -1, -1, -1, 0, , 
10, 3, 1463, 452, 44, 65, -1, -1, -1, 0, , 
11, 5, 211, 969, 57, 37, -1, -1, -1, 0, , 
11, 4, 28, 824, 101, 70, -1, -1, -1, 0, , 
11, 3, 1463, 452, 44, 65, -1, -1, -1, 0, , 
11, 1, 1697, 976, 85, 43, -1, -1, -1, 0, , 
12, 5, 212, 975, 64, 30, -1, -1, -1, 0, , 
12, 4, 33, 823, 96, 68, -1, -1, -1, 0, , 
12, 3, 1463, 453, 43, 64, -1, -1, -1, 0, , 
12, 1, 1692, 985, 88, 35, -1, -1, -1, 0, , 
13, 6, 32, 636, 57, 116, -1, -1, -1, 0, , 
13, 5, 212, 975, 64, 30, -1, -1, -1, 0, , 
13, 4, 33, 824, 96, 67, -1, -1, -1, 0, , 
13, 3, 1463, 453, 43, 64, -1, -1, -1, 0, , 
13, 1, 1692, 984, 88, 37, -1, -1, -1, 0, , 
14, 5, 212, 973, 54, 32, -1, -1, -1, 0, , 
14, 4, 32, 822, 100, 69, -1, -1, -1, 0, , 
14, 3, 1463, 453, 44, 65, -1, -1, -1, 0, , 
14, 1, 1695, 971, 76, 49, -1, -1, -1, 0, , 
15, 5, 212, 974, 54, 31, -1, -1, -1, 0, , 
15, 4, 32, 822, 100, 69, -1, -1, -1, 0, , 
15, 3, 1463, 453, 44, 65, -1, -1, -1, 0, , 
15, 1, 1695, 971, 76, 49, -1, -1, -1, 0, , 
16, 5, 212, 972, 57, 33, -1, -1, -1, 0, , 
16, 4, 31, 825, 102, 64, -1, -1, -1, 0, , 
16, 3, 1463, 453, 43, 64, -1, -1, -1, 0, , 
16, 1, 1700, 985, 69, 37, -1, -1, -1, 0, , 
17, 7, 745, 1007, 61, 42, -1, -1, -1, 0, , 
17, 5, 213, 971, 56, 34, -1, -1, -1, 0, , 
17, 4, 31, 825, 102, 64, -1, -1, -1, 0, , 
17, 3, 1463, 453, 43, 64, -1, -1, -1, 0, , 
