seq,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-DPM,0.3903987944674668,0.9175379091707903,0.39136752596738605,0.3965340939669555,0.9871382636655949,0.1774193548387097,0.3548387096774194,0.46774193548387094,0.3576997639938853,0.565789978882703,0.16,0.39129996918868176,6760.419314770383,7368,11213,96,18,11,22,29,19.0,600,7464,18581,47,62
COMBINED,0.3903987944674668,0.9175379091707903,0.39136752596738605,0.3965340939669555,0.9871382636655949,0.1774193548387097,0.3548387096774194,0.46774193548387094,0.3576997639938853,0.565789978882703,0.16,0.39129996918868176,6760.419314770383,7368,11213,96,18,11,22,29,19.0,600,7464,18581,47,62
