seq,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-DPM,0.44625,0.9231682943022304,0.4475,0.9629166666666666,0.6513528748590756,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.37226747005518934,0.777067921990585,2.0616666666666665,0.44730119947720015,2133.4419281324544,2311,89,1237,3,20,2,2,17.0,600,3548,2400,57,24
COMBINED,0.44625,0.9231682943022304,0.4475,0.9629166666666666,0.6513528748590756,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.37226747005518934,0.777067921990585,2.0616666666666665,0.44730119947720015,2133.4419281324544,2311,89,1237,3,20,2,2,17.0,600,3548,2400,57,24
